Index | OID        | Off=0    | Off=1    | Off=2    | Off=3    | Off=4    | Off=5    | Off=6    | Off=7    | Off=8    | Off=9    | Off=10   | Off=11   | Off=12   | Off=13   | Off=14   | Off=15   | Off=16   | Off=17   | Off=18   | Off=19  
117   | 1006191   | f66v     | f66r     | f65v     | f65r     | f58v     | f58r     | f57v     | f57r     | f56v     | f56r     | f55v     | f55r     | f54v     | f54r     | f53v     | f53r     | f52v     | f52r     | f51v     | f51r    
118   | 1006192   | f67r     | f66v     | f66r     | f65v     | f65r     | f58v     | f58r     | f57v     | f57r     | f56v     | f56r     | f55v     | f55r     | f54v     | f54r     | f53v     | f53r     | f52v     | f52r     | f51v    
119   | 1006193   | f67v     | f67r     | f66v     | f66r     | f65v     | f65r     | f58v     | f58r     | f57v     | f57r     | f56v     | f56r     | f55v     | f55r     | f54v     | f54r     | f53v     | f53r     | f52v     | f52r    
120   | 1006194   | f68r     | f67v     | f67r     | f66v     | f66r     | f65v     | f65r     | f58v     | f58r     | f57v     | f57r     | f56v     | f56r     | f55v     | f55r     | f54v     | f54r     | f53v     | f53r     | f52v    
121   | 1006195   | f68v     | f68r     | f67v     | f67r     | f66v     | f66r     | f65v     | f65r     | f58v     | f58r     | f57v     | f57r     | f56v     | f56r     | f55v     | f55r     | f54v     | f54r     | f53v     | f53r    
122   | 1006196   | f69r     | f68v     | f68r     | f67v     | f67r     | f66v     | f66r     | f65v     | f65r     | f58v     | f58r     | f57v     | f57r     | f56v     | f56r     | f55v     | f55r     | f54v     | f54r     | f53v    
123   | 1006197   | f69v     | f69r     | f68v     | f68r     | f67v     | f67r     | f66v     | f66r     | f65v     | f65r     | f58v     | f58r     | f57v     | f57r     | f56v     | f56r     | f55v     | f55r     | f54v     | f54r    
124   | 1006198   | f70r     | f69v     | f69r     | f68v     | f68r     | f67v     | f67r     | f66v     | f66r     | f65v     | f65r     | f58v     | f58r     | f57v     | f57r     | f56v     | f56r     | f55v     | f55r     | f54v    
125   | 1006199   | f70v     | f70r     | f69v     | f69r     | f68v     | f68r     | f67v     | f67r     | f66v     | f66r     | f65v     | f65r     | f58v     | f58r     | f57v     | f57r     | f56v     | f56r     | f55v     | f55r    
126   | 1006200   | f71r     | f70v     | f70r     | f69v     | f69r     | f68v     | f68r     | f67v     | f67r     | f66v     | f66r     | f65v     | f65r     | f58v     | f58r     | f57v     | f57r     | f56v     | f56r     | f55v    
127   | 1006201   | f71v     | f71r     | f70v     | f70r     | f69v     | f69r     | f68v     | f68r     | f67v     | f67r     | f66v     | f66r     | f65v     | f65r     | f58v     | f58r     | f57v     | f57r     | f56v     | f56r    
128   | 1006202   | f72r     | f71v     | f71r     | f70v     | f70r     | f69v     | f69r     | f68v     | f68r     | f67v     | f67r     | f66v     | f66r     | f65v     | f65r     | f58v     | f58r     | f57v     | f57r     | f56v    
129   | 1006203   | f72v     | f72r     | f71v     | f71r     | f70v     | f70r     | f69v     | f69r     | f68v     | f68r     | f67v     | f67r     | f66v     | f66r     | f65v     | f65r     | f58v     | f58r     | f57v     | f57r    
130   | 1006204   | f73r     | f72v     | f72r     | f71v     | f71r     | f70v     | f70r     | f69v     | f69r     | f68v     | f68r     | f67v     | f67r     | f66v     | f66r     | f65v     | f65r     | f58v     | f58r     | f57v    
131   | 1006205   | f73v     | f73r     | f72v     | f72r     | f71v     | f71r     | f70v     | f70r     | f69v     | f69r     | f68v     | f68r     | f67v     | f67r     | f66v     | f66r     | f65v     | f65r     | f58v     | f58r    
132   | 1006206   | f75r     | f73v     | f73r     | f72v     | f72r     | f71v     | f71r     | f70v     | f70r     | f69v     | f69r     | f68v     | f68r     | f67v     | f67r     | f66v     | f66r     | f65v     | f65r     | f58v    
133   | 1006207   | f75v     | f75r     | f73v     | f73r     | f72v     | f72r     | f71v     | f71r     | f70v     | f70r     | f69v     | f69r     | f68v     | f68r     | f67v     | f67r     | f66v     | f66r     | f65v     | f65r    
134   | 1006208   | f76r     | f75v     | f75r     | f73v     | f73r     | f72v     | f72r     | f71v     | f71r     | f70v     | f70r     | f69v     | f69r     | f68v     | f68r     | f67v     | f67r     | f66v     | f66r     | f65v    
135   | 1006209   | f76v     | f76r     | f75v     | f75r     | f73v     | f73r     | f72v     | f72r     | f71v     | f71r     | f70v     | f70r     | f69v     | f69r     | f68v     | f68r     | f67v     | f67r     | f66v     | f66r    
136   | 1006210   | f77r     | f76v     | f76r     | f75v     | f75r     | f73v     | f73r     | f72v     | f72r     | f71v     | f71r     | f70v     | f70r     | f69v     | f69r     | f68v     | f68r     | f67v     | f67r     | f66v    
137   | 1006211   | f77v     | f77r     | f76v     | f76r     | f75v     | f75r     | f73v     | f73r     | f72v     | f72r     | f71v     | f71r     | f70v     | f70r     | f69v     | f69r     | f68v     | f68r     | f67v     | f67r    
138   | 1006212   | f78r     | f77v     | f77r     | f76v     | f76r     | f75v     | f75r     | f73v     | f73r     | f72v     | f72r     | f71v     | f71r     | f70v     | f70r     | f69v     | f69r     | f68v     | f68r     | f67v    
139   | 1006213   | f78v     | f78r     | f77v     | f77r     | f76v     | f76r     | f75v     | f75r     | f73v     | f73r     | f72v     | f72r     | f71v     | f71r     | f70v     | f70r     | f69v     | f69r     | f68v     | f68r    
140   | 1006214   | f79r     | f78v     | f78r     | f77v     | f77r     | f76v     | f76r     | f75v     | f75r     | f73v     | f73r     | f72v     | f72r     | f71v     | f71r     | f70v     | f70r     | f69v     | f69r     | f68v    
141   | 1006215   | f79v     | f79r     | f78v     | f78r     | f77v     | f77r     | f76v     | f76r     | f75v     | f75r     | f73v     | f73r     | f72v     | f72r     | f71v     | f71r     | f70v     | f70r     | f69v     | f69r    
142   | 1006216   | f80r     | f79v     | f79r     | f78v     | f78r     | f77v     | f77r     | f76v     | f76r     | f75v     | f75r     | f73v     | f73r     | f72v     | f72r     | f71v     | f71r     | f70v     | f70r     | f69v    
143   | 1006217   | f80v     | f80r     | f79v     | f79r     | f78v     | f78r     | f77v     | f77r     | f76v     | f76r     | f75v     | f75r     | f73v     | f73r     | f72v     | f72r     | f71v     | f71r     | f70v     | f70r    
144   | 1006218   | f81r     | f80v     | f80r     | f79v     | f79r     | f78v     | f78r     | f77v     | f77r     | f76v     | f76r     | f75v     | f75r     | f73v     | f73r     | f72v     | f72r     | f71v     | f71r     | f70v    
145   | 1006219   | f81v     | f81r     | f80v     | f80r     | f79v     | f79r     | f78v     | f78r     | f77v     | f77r     | f76v     | f76r     | f75v     | f75r     | f73v     | f73r     | f72v     | f72r     | f71v     | f71r    
146   | 1006220   | f82r     | f81v     | f81r     | f80v     | f80r     | f79v     | f79r     | f78v     | f78r     | f77v     | f77r     | f76v     | f76r     | f75v     | f75r     | f73v     | f73r     | f72v     | f72r     | f71v    
147   | 1006221   | f82v     | f82r     | f81v     | f81r     | f80v     | f80r     | f79v     | f79r     | f78v     | f78r     | f77v     | f77r     | f76v     | f76r     | f75v     | f75r     | f73v     | f73r     | f72v     | f72r    
148   | 1006222   | f83r     | f82v     | f82r     | f81v     | f81r     | f80v     | f80r     | f79v     | f79r     | f78v     | f78r     | f77v     | f77r     | f76v     | f76r     | f75v     | f75r     | f73v     | f73r     | f72v    
149   | 1006223   | f83v     | f83r     | f82v     | f82r     | f81v     | f81r     | f80v     | f80r     | f79v     | f79r     | f78v     | f78r     | f77v     | f77r     | f76v     | f76r     | f75v     | f75r     | f73v     | f73r    
150   | 1006224   | f84r     | f83v     | f83r     | f82v     | f82r     | f81v     | f81r     | f80v     | f80r     | f79v     | f79r     | f78v     | f78r     | f77v     | f77r     | f76v     | f76r     | f75v     | f75r     | f73v    
151   | 1006225   | f84v     | f84r     | f83v     | f83r     | f82v     | f82r     | f81v     | f81r     | f80v     | f80r     | f79v     | f79r     | f78v     | f78r     | f77v     | f77r     | f76v     | f76r     | f75v     | f75r    
152   | 1006226   | f85r     | f84v     | f84r     | f83v     | f83r     | f82v     | f82r     | f81v     | f81r     | f80v     | f80r     | f79v     | f79r     | f78v     | f78r     | f77v     | f77r     | f76v     | f76r     | f75v    
153   | 1006227   | f86r     | f85r     | f84v     | f84r     | f83v     | f83r     | f82v     | f82r     | f81v     | f81r     | f80v     | f80r     | f79v     | f79r     | f78v     | f78r     | f77v     | f77r     | f76v     | f76r    
154   | 1006228   | f86v     | f86r     | f85r     | f84v     | f84r     | f83v     | f83r     | f82v     | f82r     | f81v     | f81r     | f80v     | f80r     | f79v     | f79r     | f78v     | f78r     | f77v     | f77r     | f76v    
155   | 1006229   | f87r     | f86v     | f86r     | f85r     | f84v     | f84r     | f83v     | f83r     | f82v     | f82r     | f81v     | f81r     | f80v     | f80r     | f79v     | f79r     | f78v     | f78r     | f77v     | f77r    
156   | 1006230   | f87v     | f87r     | f86v     | f86r     | f85r     | f84v     | f84r     | f83v     | f83r     | f82v     | f82r     | f81v     | f81r     | f80v     | f80r     | f79v     | f79r     | f78v     | f78r     | f77v    
157   | 1006231   | f88r     | f87v     | f87r     | f86v     | f86r     | f85r     | f84v     | f84r     | f83v     | f83r     | f82v     | f82r     | f81v     | f81r     | f80v     | f80r     | f79v     | f79r     | f78v     | f78r    
158   | 1006232   | f88v     | f88r     | f87v     | f87r     | f86v     | f86r     | f85r     | f84v     | f84r     | f83v     | f83r     | f82v     | f82r     | f81v     | f81r     | f80v     | f80r     | f79v     | f79r     | f78v    
159   | 1043429   | f89r     | f88v     | f88r     | f87v     | f87r     | f86v     | f86r     | f85r     | f84v     | f84r     | f83v     | f83r     | f82v     | f82r     | f81v     | f81r     | f80v     | f80r     | f79v     | f79r    
160   | 1037112   | f89v     | f89r     | f88v     | f88r     | f87v     | f87r     | f86v     | f86r     | f85r     | f84v     | f84r     | f83v     | f83r     | f82v     | f82r     | f81v     | f81r     | f80v     | f80r     | f79v    
161   | 1006233   | f90r     | f89v     | f89r     | f88v     | f88r     | f87v     | f87r     | f86v     | f86r     | f85r     | f84v     | f84r     | f83v     | f83r     | f82v     | f82r     | f81v     | f81r     | f80v     | f80r    
162   | 1006234   | f90v     | f90r     | f89v     | f89r     | f88v     | f88r     | f87v     | f87r     | f86v     | f86r     | f85r     | f84v     | f84r     | f83v     | f83r     | f82v     | f82r     | f81v     | f81r     | f80v    
163   | 1006235   | f93r     | f90v     | f90r     | f89v     | f89r     | f88v     | f88r     | f87v     | f87r     | f86v     | f86r     | f85r     | f84v     | f84r     | f83v     | f83r     | f82v     | f82r     | f81v     | f81r    
164   | 1006236   | f93v     | f93r     | f90v     | f90r     | f89v     | f89r     | f88v     | f88r     | f87v     | f87r     | f86v     | f86r     | f85r     | f84v     | f84r     | f83v     | f83r     | f82v     | f82r     | f81v    
165   | 1006237   | f94r     | f93v     | f93r     | f90v     | f90r     | f89v     | f89r     | f88v     | f88r     | f87v     | f87r     | f86v     | f86r     | f85r     | f84v     | f84r     | f83v     | f83r     | f82v     | f82r    
166   | 1006238   | f94v     | f94r     | f93v     | f93r     | f90v     | f90r     | f89v     | f89r     | f88v     | f88r     | f87v     | f87r     | f86v     | f86r     | f85r     | f84v     | f84r     | f83v     | f83r     | f82v    
167   | 1006239   | f95r     | f94v     | f94r     | f93v     | f93r     | f90v     | f90r     | f89v     | f89r     | f88v     | f88r     | f87v     | f87r     | f86v     | f86r     | f85r     | f84v     | f84r     | f83v     | f83r    
168   | 1006240   | f95v     | f95r     | f94v     | f94r     | f93v     | f93r     | f90v     | f90r     | f89v     | f89r     | f88v     | f88r     | f87v     | f87r     | f86v     | f86r     | f85r     | f84v     | f84r     | f83v    
169   | 1006241   | f96r     | f95v     | f95r     | f94v     | f94r     | f93v     | f93r     | f90v     | f90r     | f89v     | f89r     | f88v     | f88r     | f87v     | f87r     | f86v     | f86r     | f85r     | f84v     | f84r    
170   | 1006242   | f96v     | f96r     | f95v     | f95r     | f94v     | f94r     | f93v     | f93r     | f90v     | f90r     | f89v     | f89r     | f88v     | f88r     | f87v     | f87r     | f86v     | f86r     | f85r     | f84v    
171   | 1006243   | f99r     | f96v     | f96r     | f95v     | f95r     | f94v     | f94r     | f93v     | f93r     | f90v     | f90r     | f89v     | f89r     | f88v     | f88r     | f87v     | f87r     | f86v     | f86r     | f85r    
172   | 1006244   | f99v     | f99r     | f96v     | f96r     | f95v     | f95r     | f94v     | f94r     | f93v     | f93r     | f90v     | f90r     | f89v     | f89r     | f88v     | f88r     | f87v     | f87r     | f86v     | f86r    
173   | 1006245   | f100r    | f99v     | f99r     | f96v     | f96r     | f95v     | f95r     | f94v     | f94r     | f93v     | f93r     | f90v     | f90r     | f89v     | f89r     | f88v     | f88r     | f87v     | f87r     | f86v    
174   | 1006246   | f100v    | f100r    | f99v     | f99r     | f96v     | f96r     | f95v     | f95r     | f94v     | f94r     | f93v     | f93r     | f90v     | f90r     | f89v     | f89r     | f88v     | f88r     | f87v     | f87r    
175   | 1006247   | f101r    | f100v    | f100r    | f99v     | f99r     | f96v     | f96r     | f95v     | f95r     | f94v     | f94r     | f93v     | f93r     | f90v     | f90r     | f89v     | f89r     | f88v     | f88r     | f87v    
176   | 1006248   | f101v    | f101r    | f100v    | f100r    | f99v     | f99r     | f96v     | f96r     | f95v     | f95r     | f94v     | f94r     | f93v     | f93r     | f90v     | f90r     | f89v     | f89r     | f88v     | f88r    
177   | 1006249   | f102r    | f101v    | f101r    | f100v    | f100r    | f99v     | f99r     | f96v     | f96r     | f95v     | f95r     | f94v     | f94r     | f93v     | f93r     | f90v     | f90r     | f89v     | f89r     | f88v    
178   | 1006250   | f102v    | f102r    | f101v    | f101r    | f100v    | f100r    | f99v     | f99r     | f96v     | f96r     | f95v     | f95r     | f94v     | f94r     | f93v     | f93r     | f90v     | f90r     | f89v     | f89r    
179   | 1006251   | f103r    | f102v    | f102r    | f101v    | f101r    | f100v    | f100r    | f99v     | f99r     | f96v     | f96r     | f95v     | f95r     | f94v     | f94r     | f93v     | f93r     | f90v     | f90r     | f89v    
180   | 1006252   | f103v    | f103r    | f102v    | f102r    | f101v    | f101r    | f100v    | f100r    | f99v     | f99r     | f96v     | f96r     | f95v     | f95r     | f94v     | f94r     | f93v     | f93r     | f90v     | f90r    
181   | 1006253   | f104r    | f103v    | f103r    | f102v    | f102r    | f101v    | f101r    | f100v    | f100r    | f99v     | f99r     | f96v     | f96r     | f95v     | f95r     | f94v     | f94r     | f93v     | f93r     | f90v    
182   | 1006254   | f104v    | f104r    | f103v    | f103r    | f102v    | f102r    | f101v    | f101r    | f100v    | f100r    | f99v     | f99r     | f96v     | f96r     | f95v     | f95r     | f94v     | f94r     | f93v     | f93r    
183   | 1006255   | f105r    | f104v    | f104r    | f103v    | f103r    | f102v    | f102r    | f101v    | f101r    | f100v    | f100r    | f99v     | f99r     | f96v     | f96r     | f95v     | f95r     | f94v     | f94r     | f93v    
184   | 1006256   | f105v    | f105r    | f104v    | f104r    | f103v    | f103r    | f102v    | f102r    | f101v    | f101r    | f100v    | f100r    | f99v     | f99r     | f96v     | f96r     | f95v     | f95r     | f94v     | f94r    
185   | 1006257   | f106r    | f105v    | f105r    | f104v    | f104r    | f103v    | f103r    | f102v    | f102r    | f101v    | f101r    | f100v    | f100r    | f99v     | f99r     | f96v     | f96r     | f95v     | f95r     | f94v    
186   | 1006258   | f106v    | f106r    | f105v    | f105r    | f104v    | f104r    | f103v    | f103r    | f102v    | f102r    | f101v    | f101r    | f100v    | f100r    | f99v     | f99r     | f96v     | f96r     | f95v     | f95r    
187   | 1006259   | f107r    | f106v    | f106r    | f105v    | f105r    | f104v    | f104r    | f103v    | f103r    | f102v    | f102r    | f101v    | f101r    | f100v    | f100r    | f99v     | f99r     | f96v     | f96r     | f95v    
188   | 1006260   | f107v    | f107r    | f106v    | f106r    | f105v    | f105r    | f104v    | f104r    | f103v    | f103r    | f102v    | f102r    | f101v    | f101r    | f100v    | f100r    | f99v     | f99r     | f96v     | f96r    
189   | 1006261   | f108r    | f107v    | f107r    | f106v    | f106r    | f105v    | f105r    | f104v    | f104r    | f103v    | f103r    | f102v    | f102r    | f101v    | f101r    | f100v    | f100r    | f99v     | f99r     | f96v    
190   | 1006262   | f108v    | f108r    | f107v    | f107r    | f106v    | f106r    | f105v    | f105r    | f104v    | f104r    | f103v    | f103r    | f102v    | f102r    | f101v    | f101r    | f100v    | f100r    | f99v     | f99r    
191   | 1006263   | f111r    | f108v    | f108r    | f107v    | f107r    | f106v    | f106r    | f105v    | f105r    | f104v    | f104r    | f103v    | f103r    | f102v    | f102r    | f101v    | f101r    | f100v    | f100r    | f99v    
192   | 1006264   | f111v    | f111r    | f108v    | f108r    | f107v    | f107r    | f106v    | f106r    | f105v    | f105r    | f104v    | f104r    | f103v    | f103r    | f102v    | f102r    | f101v    | f101r    | f100v    | f100r   
193   | 1006265   | f112r    | f111v    | f111r    | f108v    | f108r    | f107v    | f107r    | f106v    | f106r    | f105v    | f105r    | f104v    | f104r    | f103v    | f103r    | f102v    | f102r    | f101v    | f101r    | f100v   
194   | 1006266   | f112v    | f112r    | f111v    | f111r    | f108v    | f108r    | f107v    | f107r    | f106v    | f106r    | f105v    | f105r    | f104v    | f104r    | f103v    | f103r    | f102v    | f102r    | f101v    | f101r   
195   | 1006267   | f113r    | f112v    | f112r    | f111v    | f111r    | f108v    | f108r    | f107v    | f107r    | f106v    | f106r    | f105v    | f105r    | f104v    | f104r    | f103v    | f103r    | f102v    | f102r    | f101v   
196   | 1006268   | f113v    | f113r    | f112v    | f112r    | f111v    | f111r    | f108v    | f108r    | f107v    | f107r    | f106v    | f106r    | f105v    | f105r    | f104v    | f104r    | f103v    | f103r    | f102v    | f102r   
197   | 1006269   | f114r    | f113v    | f113r    | f112v    | f112r    | f111v    | f111r    | f108v    | f108r    | f107v    | f107r    | f106v    | f106r    | f105v    | f105r    | f104v    | f104r    | f103v    | f103r    | f102v   
198   | 1006270   | f114v    | f114r    | f113v    | f113r    | f112v    | f112r    | f111v    | f111r    | f108v    | f108r    | f107v    | f107r    | f106v    | f106r    | f105v    | f105r    | f104v    | f104r    | f103v    | f103r   
199   | 1006271   | f115r    | f114v    | f114r    | f113v    | f113r    | f112v    | f112r    | f111v    | f111r    | f108v    | f108r    | f107v    | f107r    | f106v    | f106r    | f105v    | f105r    | f104v    | f104r    | f103v   
200   | 1006272   | f115v    | f115r    | f114v    | f114r    | f113v    | f113r    | f112v    | f112r    | f111v    | f111r    | f108v    | f108r    | f107v    | f107r    | f106v    | f106r    | f105v    | f105r    | f104v    | f104r   
201   | 1006273   | f116r    | f115v    | f115r    | f114v    | f114r    | f113v    | f113r    | f112v    | f112r    | f111v    | f111r    | f108v    | f108r    | f107v    | f107r    | f106v    | f106r    | f105v    | f105r    | f104v   
202   | 1006274   | f116v    | f116r    | f115v    | f115r    | f114v    | f114r    | f113v    | f113r    | f112v    | f112r    | f111v    | f111r    | f108v    | f108r    | f107v    | f107r    | f106v    | f106r    | f105v    | f105r   
203   | 1006275   | -        | f116v    | f116r    | f115v    | f115r    | f114v    | f114r    | f113v    | f113r    | f112v    | f112r    | f111v    | f111r    | f108v    | f108r    | f107v    | f107r    | f106v    | f106r    | f105v   
204   | 1006276   | -        | -        | f116v    | f116r    | f115v    | f115r    | f114v    | f114r    | f113v    | f113r    | f112v    | f112r    | f111v    | f111r    | f108v    | f108r    | f107v    | f107r    | f106v    | f106r   
205   | 1006277   | -        | -        | -        | f116v    | f116r    | f115v    | f115r    | f114v    | f114r    | f113v    | f113r    | f112v    | f112r    | f111v    | f111r    | f108v    | f108r    | f107v    | f107r    | f106v   
206   | 1037113   | -        | -        | -        | -        | f116v    | f116r    | f115v    | f115r    | f114v    | f114r    | f113v    | f113r    | f112v    | f112r    | f111v    | f111r    | f108v    | f108r    | f107v    | f107r   
207   | 1006278   | -        | -        | -        | -        | -        | f116v    | f116r    | f115v    | f115r    | f114v    | f114r    | f113v    | f113r    | f112v    | f112r    | f111v    | f111r    | f108v    | f108r    | f107v   
208   | 11868207  | -        | -        | -        | -        | -        | -        | f116v    | f116r    | f115v    | f115r    | f114v    | f114r    | f113v    | f113r    | f112v    | f112r    | f111v    | f111r    | f108v    | f108r   
209   | 11868208  | -        | -        | -        | -        | -        | -        | -        | f116v    | f116r    | f115v    | f115r    | f114v    | f114r    | f113v    | f113r    | f112v    | f112r    | f111v    | f111r    | f108v   
210   | 11868209  | -        | -        | -        | -        | -        | -        | -        | -        | f116v    | f116r    | f115v    | f115r    | f114v    | f114r    | f113v    | f113r    | f112v    | f112r    | f111v    | f111r   
211   | 11868210  | -        | -        | -        | -        | -        | -        | -        | -        | -        | f116v    | f116r    | f115v    | f115r    | f114v    | f114r    | f113v    | f113r    | f112v    | f112r    | f111v   
212   | 1006279   | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | f116v    | f116r    | f115v    | f115r    | f114v    | f114r    | f113v    | f113r    | f112v    | f112r   
