Index | OID        | Off=0    | Off=1    | Off=2    | Off=3    | Off=4    | Off=5    | Off=6    | Off=7    | Off=8    | Off=9    | Off=10   | Off=11   | Off=12   | Off=13   | Off=14   | Off=15   | Off=16   | Off=17   | Off=18   | Off=19  
31    | 1006105   | f17v     | f17r     | f16v     | f16r     | f15v     | f15r     | f14v     | f14r     | f13v     | f13r     | f11v     | f11r     | f10v     | f10r     | f9v      | f9r      | f8v      | f8r      | f7v      | f7r     
32    | 1006106   | f18r     | f17v     | f17r     | f16v     | f16r     | f15v     | f15r     | f14v     | f14r     | f13v     | f13r     | f11v     | f11r     | f10v     | f10r     | f9v      | f9r      | f8v      | f8r      | f7v     
33    | 1006107   | f18v     | f18r     | f17v     | f17r     | f16v     | f16r     | f15v     | f15r     | f14v     | f14r     | f13v     | f13r     | f11v     | f11r     | f10v     | f10r     | f9v      | f9r      | f8v      | f8r     
34    | 1006108   | f19r     | f18v     | f18r     | f17v     | f17r     | f16v     | f16r     | f15v     | f15r     | f14v     | f14r     | f13v     | f13r     | f11v     | f11r     | f10v     | f10r     | f9v      | f9r      | f8v     
35    | 1006109   | f19v     | f19r     | f18v     | f18r     | f17v     | f17r     | f16v     | f16r     | f15v     | f15r     | f14v     | f14r     | f13v     | f13r     | f11v     | f11r     | f10v     | f10r     | f9v      | f9r     
36    | 1006110   | f20r     | f19v     | f19r     | f18v     | f18r     | f17v     | f17r     | f16v     | f16r     | f15v     | f15r     | f14v     | f14r     | f13v     | f13r     | f11v     | f11r     | f10v     | f10r     | f9v     
37    | 1006111   | f20v     | f20r     | f19v     | f19r     | f18v     | f18r     | f17v     | f17r     | f16v     | f16r     | f15v     | f15r     | f14v     | f14r     | f13v     | f13r     | f11v     | f11r     | f10v     | f10r    
38    | 1006112   | f21r     | f20v     | f20r     | f19v     | f19r     | f18v     | f18r     | f17v     | f17r     | f16v     | f16r     | f15v     | f15r     | f14v     | f14r     | f13v     | f13r     | f11v     | f11r     | f10v    
39    | 1006113   | f21v     | f21r     | f20v     | f20r     | f19v     | f19r     | f18v     | f18r     | f17v     | f17r     | f16v     | f16r     | f15v     | f15r     | f14v     | f14r     | f13v     | f13r     | f11v     | f11r    
40    | 1006114   | f22r     | f21v     | f21r     | f20v     | f20r     | f19v     | f19r     | f18v     | f18r     | f17v     | f17r     | f16v     | f16r     | f15v     | f15r     | f14v     | f14r     | f13v     | f13r     | f11v    
