Folio,Plant Name,Keyword 1,Score 1,Keyword 2,Score 2,Keyword 3,Score 3
f42r,Wood Sorrel / Oxalis acetosella,shol,0.0607,choty,0.0317,!!!sho,0.0302
f43v,Wild Oats / Avena sterilis,chedy,0.0584,dary,0.0414,shedy,0.0407
f44r,Mandrake / Mandragora officinarum,tshodpy,0.0547,oracphy,0.0547,koees,0.0547
f45r,Orach / Atriplex hortensis,ykeol,0.0793,dai!n,0.0580,pykydal,0.0477
f46r,Unknown / Unknown,shee,0.0869,shdy,0.0611,sheckhy,0.0523
f47v,Lungwort / Pulmonaria officinalis,cho,0.0639,psheot,0.0554,cholsho,0.0554
f48v,Celandine / Chelidonium majus,otedy,0.0825,otar,0.0723,ytam,0.0569
f51v,Millet / Setaria italica,qokol,0.0674,poshody,0.0570,qokodar,0.0570
f52r,Lovage / Levisticum officinale,oty,0.0708,tdokchcfhy,0.0662,ycphko,0.0662
f53r,Herb Christopher / Actaea spicata,oty<-><!plant>,0.1226,kodam,0.0789,chocthody,0.0789
f54r,Creeping Thistle / Circium arvense,shodal,0.0821,ckhol,0.0693,dam,0.0485
f54v,Sage / Salvia officinalis,okal,0.0553,tol,0.0514,dy<-><!plant>,0.0479
f55r,Fumitory / Fumaria officinalis,okar,0.0505,qokar,0.0489,chky,0.0460
f57r,Lady’s Mantle / Alchemilla vulgaris,cheody,0.1114,sheedy,0.0768,poeeo,0.0494
f65r,Larkspur / Delphinium,otaim,1.3675,alam,1.3675,dam,0.5392
f65v,Cornflower / Centaurea cyanus,fchecfhy,0.1052,dy<-><!plant>dchepain,0.1052,shety,0.1052
f66v,Bay Laurel / Laurus nobilis,kal,0.0990,sheody,0.0668,chekal,0.0569
f87r,Aloe / Aloe vera,soraiin<-><!plant>,0.0837,ctheody,0.0696,shee,0.0696
f93v,Switch Grass / Panicum,qotchol,0.0660,cthody,0.0660,ckhol,0.0660
f94r,Moonwort / Botrychium lunaria,opaiis,0.0513,dsheedy,0.0513,qopchedal,0.0513
f96r,Black Hellebore / Helleborus niger,sheol,0.0675,olsheeo!sol,0.0533,cpheol,0.0533
f96v,Black Byrony / Tamus communis,sar,0.0856,psheoas,0.0733,qoepsheody,0.0733
f3v,Dungwort / Helleborus foetidus,tchor,0.0835,qotoy,0.0494,sha,0.0494
f4v,European Bellflower / Campanula,shokchy,0.0817,sheo,0.0572,sho,0.0567
f5r,Wolf's Bane / Arnica montana,qoaiin,0.1018,fchoy,0.0733,chkoy,0.0733
f7r,Bog Stichwort / Stellaria alsine,choty,0.0830,fchodaiin,0.0789,shopchey,0.0789
f8r,Green Pea / Pisum sativum,pshol,0.0318,otshal,0.0318,chopy!<-><!plant>cphol,0.0318
f9r,Ragweed / Ambrosia,cthy,0.0693,tydlo,0.0562,orchey,0.0562
f9v,Heartsease / Viola tricolor,chkaiin,0.0834,fochor,0.0570,oporody,0.0570
f10v,Twinflower / Linnaea borealis,shoiin,0.1202,oty!dy,0.0774,sain,0.0774
f11v,Rhodiola / Rhodiola rosea,poldchody,0.0954,shordy,0.0954,qoty<-><!plant>shol,0.0954
f13r,Banana / Musa,qopchy,0.0850,ykchy,0.0595,torshor,0.0547
f13v,Honeysuckle / Lonicera periclymenum,otchy,0.1097,koair,0.0695,chtoiin,0.0695
f16v,Chrysanthemum / Chrysanthemum,chody<-><!plant>,0.1013,chkar,0.0934,ytchy,0.0657
f18r,Alpine Daisy / Aster amellus,qokchol,0.0911,ykchol,0.0807,qokchor,0.0688
f19r,Greek Valerian / Polemonium caeruleum,chordy,0.1080,ykchor,0.0839,tchy,0.0775
f19v,Nailwort / Draba nivalis,qotol,0.0788,pochaiin,0.0533,chpcheos,0.0533
f21v,Burning Bush / Dictamnus albus,choty,0.1155,toldshy,0.0733,chofchy,0.0733
f22r,Common Vervain / Verbena officinalis,dchor,0.0748,okchy,0.0451,kchol,0.0422
f22v,Tulip / Tulipa,pysaiinor,0.0595,otdy<-><!plant>sor,0.0595,qo!!!!!d,0.0595
f23r,Pasque Flower / Pulsatilla vulgaris,qokchol,0.0712,ykor,0.0564,pydchdom,0.0406
