Cluster ID,Astronomical_Count,Astronomical_Freq,Biological_Count,Biological_Freq,Herbal_Count,Herbal_Freq,Recipes_Count,Recipes_Freq,Rosettes_Count,Rosettes_Freq,Dominant_Section,Dominant_Share
ryok,0,0.0,0,0.0,1,0.7427213309566251,0,0.0,0,0.0,Herbal,1.0
ryokora,1,3.2938076416337285,0,0.0,0,0.0,0,0.0,0,0.0,Astronomical,1.0
rysho,0,0.0,0,0.0,1,0.7427213309566251,0,0.0,0,0.0,Herbal,1.0
rytchdam,0,0.0,0,0.0,3,2.228163992869875,1,0.9359790340696369,0,0.0,Herbal,0.75
sd,0,0.0,0,0.0,0,0.0,1,0.9359790340696369,0,0.0,Recipes,1.0
sh,0,0.0,1,1.4492753623188406,2,1.4854426619132501,2,1.8719580681392738,0,0.0,Herbal,0.4
so,1,3.2938076416337285,0,0.0,0,0.0,1,0.9359790340696369,0,0.0,Astronomical,0.5
sr,0,0.0,0,0.0,1,0.7427213309566251,1,0.9359790340696369,0,0.0,Herbal,0.5
ss,3,9.881422924901186,0,0.0,1,0.7427213309566251,0,0.0,0,0.0,Astronomical,0.75
st,6,19.76284584980237,0,0.0,0,0.0,0,0.0,0,0.0,Astronomical,1.0
sy,4,13.175230566534914,0,0.0,2,1.4854426619132501,0,0.0,0,0.0,Astronomical,0.6666666666666666
ta,0,0.0,0,0.0,0,0.0,1,0.9359790340696369,1,5.497526113249038,Recipes,0.5
td,1,3.2938076416337285,0,0.0,1,0.7427213309566251,0,0.0,0,0.0,Astronomical,0.5
te,3,9.881422924901186,1,1.4492753623188406,0,0.0,0,0.0,0,0.0,Astronomical,0.75
tl,1,3.2938076416337285,3,4.3478260869565215,6,4.45632798573975,11,10.295769374766007,0,0.0,Recipes,0.5238095238095238
to,4,13.175230566534914,0,0.0,1,0.7427213309566251,0,0.0,1,5.497526113249038,Astronomical,0.6666666666666666
ty,13,42.81949934123847,34,49.27536231884058,48,35.650623885918,28,26.20741295394983,13,71.4678394722375,Herbal,0.35294117647058826
xa,3,9.881422924901186,1,1.4492753623188406,4,2.9708853238265003,1,0.9359790340696369,1,5.497526113249038,Herbal,0.4
ya,5,16.46903820816864,0,0.0,1,0.7427213309566251,1,0.9359790340696369,0,0.0,Astronomical,0.7142857142857143
yd,2,6.587615283267457,0,0.0,3,2.228163992869875,0,0.0,0,0.0,Herbal,0.6
yl,2,6.587615283267457,1,1.4492753623188406,1,0.7427213309566251,0,0.0,0,0.0,Astronomical,0.5
ym,3,9.881422924901186,1,1.4492753623188406,3,2.228163992869875,3,2.8079371022089106,0,0.0,Astronomical,0.3
yo,1,3.2938076416337285,0,0.0,0,0.0,0,0.0,0,0.0,Astronomical,1.0
ys,1,3.2938076416337285,0,0.0,0,0.0,0,0.0,0,0.0,Astronomical,1.0
yy,2,6.587615283267457,2,2.898550724637681,4,2.9708853238265003,1,0.9359790340696369,3,16.492578339747116,Herbal,0.3333333333333333
za,1,3.2938076416337285,0,0.0,2,1.4854426619132501,0,0.0,0,0.0,Herbal,0.6666666666666666
